manufacturer,model,price,equipmentType,distributionType,staging,nominalTons,nominalBtu,heatingCapacityBtu,coolingCapacityBtu,latentCoolingBtu,afue,seer,hspf,isActive,unitLocation,systemFunction,imageUrl
Trane,XR16 4TTR6024A1,4200,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
Trane,XR16 4TTR6030A1,4500,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
Trane,XR16 4TTR6036A1,4800,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
Trane,XL20i 4TTZ0024A1,6800,ac,ducted,variable_speed,2,,,24000,6000,,20,,TRUE,outdoor,cooling,
Trane,XL20i 4TTZ0030A1,7200,ac,ducted,variable_speed,2.5,,,30000,7500,,20,,TRUE,outdoor,cooling,
Trane,XL20i 4TTZ0036A1,7600,ac,ducted,variable_speed,3,,,36000,9000,,20,,TRUE,outdoor,cooling,
Lennox,13ACX-024-230,3800,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
Lennox,13ACX-030-230,4100,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
Lennox,13ACX-036-230,4400,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
Lennox,16ACX-024-230,4800,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
Lennox,16ACX-030-230,5200,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
Lennox,16ACX-036-230,5600,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
Lennox,XP25-024-230,8500,heat_pump,ducted,variable_speed,2,,20400,24000,6000,,25,13,TRUE,outdoor,heating_cooling,
Lennox,XP25-030-230,9000,heat_pump,ducted,variable_speed,2.5,,25500,30000,7500,,25,13,TRUE,outdoor,heating_cooling,
Lennox,XP25-036-230,9500,heat_pump,ducted,variable_speed,3,,30600,36000,9000,,25,13,TRUE,outdoor,heating_cooling,
Carrier,24ACB324A003,3500,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
Carrier,24ACB330A003,3800,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
Carrier,24ACB336A003,4100,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
Carrier,24ACB624A003,4500,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
Carrier,24ACB630A003,4900,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
Carrier,24ACB636A003,5300,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
Carrier,Infinity 25VNA024A003,7800,ac,ducted,variable_speed,2,,,24000,6000,,21,,TRUE,outdoor,cooling,
Carrier,Infinity 25VNA030A003,8400,ac,ducted,variable_speed,2.5,,,30000,7500,,21,,TRUE,outdoor,cooling,
Carrier,Infinity 25VNA036A003,9000,ac,ducted,variable_speed,3,,,36000,9000,,21,,TRUE,outdoor,cooling,
Carrier,25HCB324A003,4200,heat_pump,ducted,single_stage,2,,20400,24000,6000,,13,7.7,TRUE,outdoor,heating_cooling,
Carrier,25HCB330A003,4600,heat_pump,ducted,single_stage,2.5,,25500,30000,7500,,13,7.7,TRUE,outdoor,heating_cooling,
Carrier,25HCB336A003,5000,heat_pump,ducted,single_stage,3,,30600,36000,9000,,13,7.7,TRUE,outdoor,heating_cooling,
American Standard,4A7A3024A1000A,3400,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
American Standard,4A7A3030A1000A,3700,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
American Standard,4A7A3036A1000A,4000,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
American Standard,4A7A6024A1000A,4300,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
American Standard,4A7A6030A1000A,4700,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
American Standard,4A7A6036A1000A,5100,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
American Standard,Platinum 20,7200,ac,ducted,variable_speed,2,,,24000,6000,,20,,TRUE,outdoor,cooling,
Goodman,GSX130241,2800,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
Goodman,GSX130301,3000,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
Goodman,GSX130361,3200,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
Goodman,GSX140241,3000,ac,ducted,single_stage,2,,,24000,6000,,14,,TRUE,outdoor,cooling,
Goodman,GSX140301,3300,ac,ducted,single_stage,2.5,,,30000,7500,,14,,TRUE,outdoor,cooling,
Goodman,GSX140361,3600,ac,ducted,single_stage,3,,,36000,9000,,14,,TRUE,outdoor,cooling,
Goodman,GSX160241,3200,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
Goodman,GSX160301,3500,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
Goodman,GSX160361,3800,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
York,YXV 13 SEER,3100,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
York,YXV 13 SEER,3300,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
York,YXV 13 SEER,3500,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
York,YXV 16 SEER,3600,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
York,YXV 16 SEER,3900,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
York,YXV 16 SEER,4200,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
Daikin,DX13SA0241A,3300,ac,ducted,single_stage,2,,,24000,6000,,13,,TRUE,outdoor,cooling,
Daikin,DX13SA0301A,3600,ac,ducted,single_stage,2.5,,,30000,7500,,13,,TRUE,outdoor,cooling,
Daikin,DX13SA0361A,3900,ac,ducted,single_stage,3,,,36000,9000,,13,,TRUE,outdoor,cooling,
Daikin,DX16SA0241A,4000,ac,ducted,single_stage,2,,,24000,6000,,16,,TRUE,outdoor,cooling,
Daikin,DX16SA0301A,4400,ac,ducted,single_stage,2.5,,,30000,7500,,16,,TRUE,outdoor,cooling,
Daikin,DX16SA0361A,4800,ac,ducted,single_stage,3,,,36000,9000,,16,,TRUE,outdoor,cooling,
Fujitsu,9RLS3,1200,heat_pump,ductless,variable_speed,0.8,,7650,9000,2250,,22,10,TRUE,split_system,heating_cooling,
Fujitsu,12RLS3,1400,heat_pump,ductless,variable_speed,1,,10200,12000,3000,,22,10,TRUE,split_system,heating_cooling,
Fujitsu,15RLS3,1600,heat_pump,ductless,variable_speed,1.3,,12750,15000,3750,,22,10,TRUE,split_system,heating_cooling,
Fujitsu,18RLS3,1800,heat_pump,ductless,variable_speed,1.5,,15300,18000,4500,,22,10,TRUE,split_system,heating_cooling,
Fujitsu,24RLS3,2200,heat_pump,ductless,variable_speed,2,,20400,24000,6000,,22,10,TRUE,split_system,heating_cooling,
LG,LSN090HSV5,900,heat_pump,ductless,variable_speed,0.8,,7650,9000,2250,,22,10,TRUE,split_system,heating_cooling,
LG,LSN120HSV5,1100,heat_pump,ductless,variable_speed,1,,10200,12000,3000,,22,10,TRUE,split_system,heating_cooling,
LG,LSN180HSV5,1500,heat_pump,ductless,variable_speed,1.5,,15300,18000,4500,,22,10,TRUE,split_system,heating_cooling,
LG,LSN240HSV5,1900,heat_pump,ductless,variable_speed,2,,20400,24000,6000,,22,10,TRUE,split_system,heating_cooling,
LG,Art Cool Premier LSA090HSV5,1300,heat_pump,ductless,variable_speed,0.8,,7650,9000,2250,,24.5,11,TRUE,split_system,heating_cooling,
LG,Art Cool Premier LSA120HSV5,1500,heat_pump,ductless,variable_speed,1,,10200,12000,3000,,24.5,11,TRUE,split_system,heating_cooling,
Daikin,FTXS09LVJU,1100,heat_pump,ductless,variable_speed,0.8,,7650,9000,2250,,23,10.5,TRUE,split_system,heating_cooling,
Daikin,FTXS12LVJU,1300,heat_pump,ductless,variable_speed,1,,10200,12000,3000,,23,10.5,TRUE,split_system,heating_cooling,
Daikin,FTXS18LVJU,1700,heat_pump,ductless,variable_speed,1.5,,15300,18000,4500,,23,10.5,TRUE,split_system,heating_cooling,
Friedrich,M09YJ,800,heat_pump,ductless,variable_speed,0.8,,7650,9000,2250,,20,9,TRUE,split_system,heating_cooling,
Friedrich,M12YJ,950,heat_pump,ductless,variable_speed,1,,10200,12000,3000,,20,9,TRUE,split_system,heating_cooling,
Friedrich,M18YJ,1350,heat_pump,ductless,variable_speed,1.5,,15300,18000,4500,,20,9,TRUE,split_system,heating_cooling,
Friedrich,M24YJ,1750,heat_pump,ductless,variable_speed,2,,20400,24000,6000,,20,9,TRUE,split_system,heating_coolingductless,variable_speed,1.5,,,18000,18000,4500,,22,10,TRUE,split_system,heating_cooling,
Fujitsu,24RLS3,2200,heat_pump,ductless,variable_speed,2,,,24000,24000,6000,,22,10,TRUE,split_system,heating_cooling,
LG,LSN090HSV5,900,heat_pump,ductless,variable_speed,0.8,,,9000,9000,2250,,22,10,TRUE,split_system,heating_cooling,
LG,LSN120HSV5,1100,heat_pump,ductless,variable_speed,1,,,12000,12000,3000,,22,10,TRUE,split_system,heating_cooling,
LG,LSN180HSV5,1500,heat_pump,ductless,variable_speed,1.5,,,18000,18000,4500,,22,10,TRUE,split_system,heating_cooling,
LG,LSN240HSV5,1900,heat_pump,ductless,variable_speed,2,,,24000,24000,6000,,22,10,TRUE,split_system,heating_cooling,
Friedrich,M09YJ,800,heat_pump,ductless,variable_speed,0.8,,,9000,9000,2250,,20,9,TRUE,split_system,heating_cooling,
Friedrich,M12YJ,950,heat_pump,ductless,variable_speed,1,,,12000,12000,3000,,20,9,TRUE,split_system,heating_cooling,
Friedrich,M18YJ,1350,heat_pump,ductless,variable_speed,1.5,,,18000,18000,4500,,20,9,TRUE,split_system,heating_cooling,
Friedrich,M24YJ,1750,heat_pump,ductless,variable_speed,2,,,24000,24000,6000,,20,9,TRUE,split_system,heating_cooling
